#Id,DestinationRatesId,TimingTag,Weight
MALASIA_CELL_CALL,MALASIA_CELL_CALL,*any,0
MALAWI_CALL,MALAWI_CALL,*any,0
MALAWI_CELL_CALL,MALAWI_CELL_CALL,*any,0
MALDIVAS_CALL,MALDIVAS_CALL,*any,0
MALDIVAS_CELL_CALL,MALDIVAS_CELL_CALL,*any,0
MALI_CALL,MALI_CALL,*any,0
MALI_CELL_CALL,MALI_CELL_CALL,*any,0
MALTA_CALL,MALTA_CALL,*any,0
MALTA_CELL_CALL,MALTA_CELL_CALL,*any,0
MARRUECOS_CALL,MARRUECOS_CALL,*any,0
MARRUECOS_CELL_CALL,MARRUECOS_CELL_CALL,*any,0
MARTINICA_ANTILLAS_FRANCESAS_CALL,MARTINICA_ANTILLAS_FRANCESAS_CALL,*any,0
MARTINICA_ANTILLAS_FRANCESAS_CELL_CALL,MARTINICA_ANTILLAS_FRANCESAS_CELL_CALL,*any,0
MAURITANIA_CALL,MAURITANIA_CALL,*any,0
MAURITANIA_CELL_CALL,MAURITANIA_CELL_CALL,*any,0
MEXICO_CALL,MEXICO_CALL,*any,0
MEXICO_CELL_CALL,MEXICO_CELL_CALL,*any,0
MICRONESIA_CALL,MICRONESIA_CALL,*any,0
MOLDAVIA_CALL,MOLDAVIA_CALL,*any,0
MOLDAVIA_CELL_CALL,MOLDAVIA_CELL_CALL,*any,0
MONACO_CALL,MONACO_CALL,*any,0
MONACO_CELL_CALL,MONACO_CELL_CALL,*any,0
MONGOLIA_CALL,MONGOLIA_CALL,*any,0
MONTENEGRO_CALL,MONTENEGRO_CALL,*any,0
MONTENEGRO_CELL_CALL,MONTENEGRO_CELL_CALL,*any,0
MONTSERRAT_CALL,MONTSERRAT_CALL,*any,0
MONTSERRAT_CELL_CALL,MONTSERRAT_CELL_CALL,*any,0
MOZAMBIQUE_CALL,MOZAMBIQUE_CALL,*any,0
MOZAMBIQUE_CELL_CALL,MOZAMBIQUE_CELL_CALL,*any,0
MYANMAR_BIRMANIA_CALL,MYANMAR_BIRMANIA_CALL,*any,0
NAMIBIA_CALL,NAMIBIA_CALL,*any,0
NAMIBIA_CELL_CALL,NAMIBIA_CELL_CALL,*any,0
NAURU_CALL,NAURU_CALL,*any,0
NEPAL_CALL,NEPAL_CALL,*any,0
NEPAL_CELL_CALL,NEPAL_CELL_CALL,*any,0
NICARAGUA_CALL,NICARAGUA_CALL,*any,0
NICARAGUA_CELL_CALL,NICARAGUA_CELL_CALL,*any,0
